,MS_SubClass,MS_Zoning,Lot_Frontage,Lot_Area,Street,Alley,Lot_Shape,Land_Contour,Utilities,Lot_Config,Land_Slope,Neighborhood,Condition_1,Condition_2,Bldg_Type,House_Style,Overall_Qual,Overall_Cond,Year_Built,Year_Remod_Add,Roof_Style,Roof_Matl,Exterior_1st,Exterior_2nd,Mas_Vnr_Type,Mas_Vnr_Area,Exter_Qual,Exter_Cond,Foundation,Bsmt_Qual,Bsmt_Cond,Bsmt_Exposure,BsmtFin_Type_1,BsmtFin_SF_1,BsmtFin_Type_2,BsmtFin_SF_2,Bsmt_Unf_SF,Total_Bsmt_SF,Heating,Heating_QC,Central_Air,Electrical,First_Flr_SF,Second_Flr_SF,Low_Qual_Fin_SF,Gr_Liv_Area,Bsmt_Full_Bath,Bsmt_Half_Bath,Full_Bath,Half_Bath,Bedroom_AbvGr,Kitchen_AbvGr,Kitchen_Qual,TotRms_AbvGrd,Functional,Fireplaces,Fireplace_Qu,Garage_Type,Garage_Finish,Garage_Cars,Garage_Area,Garage_Qual,Garage_Cond,Paved_Drive,Wood_Deck_SF,Open_Porch_SF,Enclosed_Porch,Three_season_porch,Screen_Porch,Pool_Area,Pool_QC,Fence,Misc_Feature,Misc_Val,Mo_Sold,Year_Sold,Sale_Type,Sale_Condition,Sale_Price
A_809,Duplex_All_Styles_and_Ages,Residential_Low_Density,64,7018,Pave,No_Alley_Access,Regular,Bnk,AllPub,Inside,Gtl,Sawyer_West,Feedr,Norm,Duplex,SFoyer,Average,Average,1979,1979,Gable,CompShg,Plywood,Plywood,Stone,275,Typical,Typical,CBlock,Good,Typical,Av,GLQ,3,Unf,0,0,1086,GasA,Typical,Y,SBrkr,1224,0,0,1224,2,0,0,2,2,2,Typical,6,Typ,2,Typical,Detchd,Unf,2,528,Typical,Typical,Paved,120,0,0,0,0,0,No_Pool,No_Fence,None,0,6,2009,WD ,Alloca,153337
A_810,Duplex_All_Styles_and_Ages,Residential_Low_Density,64,7018,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Sawyer_West,Feedr,Norm,Duplex,Two_Story,Average,Average,1979,1979,Gable,CompShg,HdBoard,HdBoard,None,0,Typical,Typical,Slab,No_Basement,No_Basement,No_Basement,No_Basement,5,No_Basement,0,0,0,GasA,Typical,Y,SBrkr,1114,1114,0,2228,0,0,2,0,6,2,Typical,8,Typ,0,No_Fireplace,Detchd,Unf,2,720,Typical,Typical,Paved,73,0,0,0,0,0,No_Pool,No_Fence,None,0,6,2009,WD ,Alloca,147983
A_811,Duplex_All_Styles_and_Ages,Residential_Low_Density,64,7018,Pave,No_Alley_Access,Regular,Bnk,AllPub,Inside,Gtl,Sawyer_West,Norm,Norm,Duplex,One_Story,Average,Average,1979,1979,Gable,CompShg,HdBoard,HdBoard,None,0,Typical,Typical,Slab,No_Basement,No_Basement,No_Basement,No_Basement,5,No_Basement,0,0,0,GasA,Typical,Y,SBrkr,1535,0,0,1535,0,0,2,0,4,2,Typical,8,Typ,0,No_Fireplace,Attchd,Unf,2,400,Typical,Typical,Paved,0,0,0,0,0,0,No_Pool,Good_Privacy,None,0,6,2009,WD ,Alloca,118858
A_812,Duplex_All_Styles_and_Ages,Residential_Low_Density,64,7018,Pave,No_Alley_Access,Regular,Bnk,AllPub,Inside,Gtl,Sawyer_West,Norm,Norm,Duplex,One_Story,Average,Average,1979,1979,Gable,CompShg,Plywood,Plywood,None,0,Typical,Typical,Slab,No_Basement,No_Basement,No_Basement,No_Basement,5,No_Basement,0,0,0,GasA,Typical,Y,SBrkr,1535,0,0,1535,0,0,2,0,4,2,Typical,8,Typ,0,No_Fireplace,Attchd,Unf,2,400,Typical,Typical,Paved,0,0,0,0,0,0,No_Pool,No_Fence,None,0,6,2009,WD ,Alloca,118858
A_813,Duplex_All_Styles_and_Ages,Residential_Low_Density,64,7018,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Sawyer_West,Feedr,Norm,Duplex,Two_Story,Average,Average,1979,1979,Gable,CompShg,Plywood,Plywood,None,0,Typical,Typical,Slab,No_Basement,No_Basement,No_Basement,No_Basement,5,No_Basement,0,0,0,GasA,Typical,Y,SBrkr,1120,1120,0,2240,0,0,2,0,6,2,Typical,12,Typ,0,No_Fireplace,Detchd,Unf,2,528,Typical,Typical,Paved,154,0,0,0,0,0,No_Pool,No_Fence,None,0,6,2009,WD ,Alloca,142953
A_814,Duplex_All_Styles_and_Ages,Residential_Low_Density,64,7040,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Sawyer_West,Feedr,Norm,Duplex,SFoyer,Average,Average,1979,1979,Gable,CompShg,Plywood,Plywood,BrkFace,216,Typical,Typical,CBlock,Good,Typical,Av,GLQ,3,Unf,0,0,1094,GasA,Typical,Y,SBrkr,1229,0,0,1229,2,0,0,2,2,2,Good,6,Typ,2,Typical,Detchd,Unf,2,672,Typical,Typical,Paved,120,0,0,0,0,0,No_Pool,No_Fence,None,0,6,2009,WD ,Alloca,148325
A_815,Duplex_All_Styles_and_Ages,Residential_Low_Density,64,7007,Pave,No_Alley_Access,Regular,Bnk,AllPub,Inside,Gtl,Sawyer_West,Norm,Norm,Duplex,One_Story,Average,Average,1979,1979,Gable,CompShg,HdBoard,HdBoard,None,0,Typical,Typical,Slab,No_Basement,No_Basement,No_Basement,No_Basement,5,No_Basement,0,0,0,GasA,Typical,Y,SBrkr,1513,0,0,1513,0,0,2,0,4,2,Typical,8,Typ,0,No_Fireplace,Attchd,Unf,2,400,Typical,Typical,Paved,0,0,0,0,0,0,No_Pool,No_Fence,None,0,6,2009,WD ,Alloca,113722
A_816,Duplex_All_Styles_and_Ages,Residential_Low_Density,0,11855,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Sawyer_West,Norm,Norm,Duplex,Two_Story,Good,Average,2000,2000,Hip,CompShg,VinylSd,VinylSd,BrkFace,23,Typical,Typical,PConc,Excellent,Typical,No,GLQ,3,Unf,0,348,1168,GasA,Excellent,Y,SBrkr,1168,1619,0,2787,2,0,4,2,6,2,Typical,8,Typ,2,Typical,BuiltIn,Fin,4,820,Typical,Typical,Paved,312,0,0,0,0,0,No_Pool,No_Fence,None,0,10,2009,WD ,Normal,269500
A_817,Duplex_All_Styles_and_Ages,Residential_Low_Density,0,7939,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Sawyer_West,Feedr,Norm,Duplex,Two_Story,Good,Average,2000,2000,Hip,CompShg,VinylSd,VinylSd,BrkFace,23,Typical,Typical,PConc,Excellent,Typical,No,GLQ,3,Unf,0,348,1168,GasA,Excellent,Y,SBrkr,1168,1619,0,2787,2,0,4,2,6,2,Typical,8,Typ,2,Typical,BuiltIn,Fin,4,820,Typical,Typical,Paved,312,0,0,0,0,0,No_Pool,No_Fence,None,0,10,2009,WD ,Normal,269500
A_818,Duplex_All_Styles_and_Ages,Residential_Low_Density,0,7976,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Sawyer_West,Feedr,Norm,Duplex,Two_Story,Good,Average,2000,2000,Hip,CompShg,VinylSd,VinylSd,BrkFace,23,Typical,Typical,PConc,Excellent,Typical,No,GLQ,3,Unf,0,348,1168,GasA,Excellent,Y,SBrkr,1168,1619,0,2787,2,0,4,2,6,2,Typical,8,Typ,2,Typical,BuiltIn,Fin,4,820,Typical,Typical,Paved,312,0,0,0,0,0,No_Pool,No_Fence,None,0,10,2009,WD ,Normal,269500
A_819,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,84,10933,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,College_Creek,Norm,Norm,OneFam,One_Story,Excellent,Average,2009,2009,Hip,CompShg,VinylSd,VinylSd,Stone,242,Excellent,Typical,PConc,Excellent,Typical,Gd,GLQ,3,Unf,0,534,1555,GasA,Excellent,Y,SBrkr,1680,0,0,1680,1,0,1,1,1,1,Excellent,8,Typ,1,Good,Attchd,Fin,3,1138,Typical,Typical,Paved,185,24,0,0,0,0,No_Pool,No_Fence,None,0,7,2009,New,Partial,323262
A_820,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,79,10637,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,College_Creek,Norm,Norm,OneFam,One_Story,Very_Good,Average,2007,2008,Hip,CompShg,VinylSd,VinylSd,Stone,336,Good,Typical,PConc,Excellent,Typical,Gd,GLQ,3,Unf,0,417,1705,GasA,Excellent,Y,SBrkr,1718,0,0,1718,1,0,2,0,3,1,Good,7,Typ,1,Good,Attchd,RFn,3,826,Typical,Typical,Paved,208,44,0,0,0,0,No_Pool,No_Fence,None,0,9,2009,WD ,Normal,297000
A_821,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,61,10226,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,College_Creek,Norm,Norm,OneFam,One_Story,Very_Good,Average,2008,2008,Gable,CompShg,VinylSd,VinylSd,Stone,270,Good,Typical,PConc,Excellent,Typical,Gd,Unf,7,Unf,0,1622,1622,GasA,Excellent,Y,SBrkr,1630,0,0,1630,1,0,2,0,3,1,Excellent,8,Typ,1,Good,Attchd,RFn,3,860,Typical,Typical,Paved,172,42,0,0,0,0,No_Pool,No_Fence,None,0,1,2009,WD ,Normal,295493
A_822,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,65,10816,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,College_Creek,Norm,Norm,OneFam,One_Story,Excellent,Average,2008,2008,Gable,CompShg,VinylSd,VinylSd,Stone,364,Excellent,Typical,PConc,Excellent,Typical,Gd,GLQ,3,Unf,0,616,1720,GasA,Excellent,Y,SBrkr,1720,0,0,1720,1,0,2,0,3,1,Excellent,8,Typ,1,Good,Attchd,RFn,3,846,Typical,Typical,Paved,208,104,0,0,0,0,No_Pool,No_Fence,None,0,11,2009,WD ,Normal,332000
A_823,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,71,9178,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,College_Creek,Norm,Norm,OneFam,One_Story,Very_Good,Average,2008,2008,Gable,CompShg,VinylSd,VinylSd,None,0,Good,Typical,PConc,Good,Typical,Av,Unf,7,Unf,0,1468,1468,GasA,Excellent,Y,SBrkr,1468,0,0,1468,0,0,2,0,3,1,Good,6,Typ,1,Good,Attchd,RFn,3,904,Typical,Typical,Paved,192,142,0,0,0,0,No_Pool,No_Fence,None,0,6,2009,WD ,Normal,239900
A_824,Two_Story_1946_and_Newer,Residential_Low_Density,68,10769,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,College_Creek,Norm,Norm,OneFam,Two_Story,Very_Good,Average,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0,Good,Typical,PConc,Good,Typical,Av,GLQ,3,Unf,0,846,866,GasA,Excellent,Y,SBrkr,866,902,0,1768,0,0,2,1,3,1,Good,7,Typ,0,No_Fireplace,Attchd,RFn,2,578,Typical,Typical,Paved,144,105,0,0,0,0,No_Pool,No_Fence,None,0,4,2009,WD ,Normal,212000
A_825,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,77,11422,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,College_Creek,Norm,Norm,OneFam,One_Story,Very_Good,Average,2007,2008,Hip,CompShg,VinylSd,VinylSd,Stone,352,Good,Typical,PConc,Excellent,Typical,Av,GLQ,3,Unf,0,479,1838,GasA,Excellent,Y,SBrkr,1838,0,0,1838,1,0,2,0,3,1,Good,7,Typ,2,Good,Attchd,RFn,2,524,Typical,Typical,Paved,154,222,0,0,0,0,No_Pool,No_Fence,None,0,4,2009,WD ,Normal,272500
A_826,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,122,11923,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Corner,Gtl,College_Creek,Norm,Norm,OneFam,One_Story,Excellent,Average,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0,Good,Typical,PConc,Excellent,Typical,No,Unf,7,Unf,0,1800,1800,GasA,Excellent,Y,SBrkr,1800,0,0,1800,0,0,2,0,2,1,Excellent,7,Typ,0,No_Fireplace,Attchd,Fin,2,702,Typical,Typical,Paved,288,136,0,0,0,0,No_Pool,No_Fence,None,0,5,2009,WD ,Normal,239000
A_827,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,68,8814,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,College_Creek,Norm,Norm,OneFam,One_Story,Good,Average,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,180,Good,Typical,PConc,Good,Typical,No,GLQ,3,Unf,0,270,1604,GasA,Excellent,Y,SBrkr,1604,0,0,1604,1,0,2,1,3,1,Good,8,Typ,1,Good,Attchd,RFn,2,660,Typical,Typical,Paved,123,110,0,0,0,0,No_Pool,No_Fence,None,0,3,2009,WD ,Abnorml,220000
A_828,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,64,6762,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,College_Creek,Norm,Norm,OneFam,One_Story,Good,Average,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0,Good,Typical,PConc,Good,Typical,Av,GLQ,3,Unf,0,380,1282,GasA,Excellent,Y,SBrkr,1290,0,0,1290,1,0,2,0,2,1,Good,6,Typ,1,Good,Attchd,RFn,2,662,Typical,Typical,Paved,168,0,0,0,0,0,No_Pool,No_Fence,None,0,5,2009,WD ,Normal,200000
A_829,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,95,10324,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Corner,Gtl,College_Creek,Norm,Norm,OneFam,One_Story,Very_Good,Average,2008,2008,Gable,CompShg,VinylSd,VinylSd,BrkFace,140,Good,Typical,PConc,Good,Typical,Av,GLQ,3,Unf,0,382,1254,GasA,Excellent,Y,SBrkr,1254,0,0,1254,1,0,2,0,2,1,Good,5,Typ,0,No_Fireplace,Attchd,RFn,3,810,Typical,Typical,Paved,168,92,0,0,0,0,No_Pool,No_Fence,None,0,3,2009,WD ,Normal,221800
A_830,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,64,7314,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,College_Creek,Norm,Norm,OneFam,One_Story,Good,Average,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,82,Good,Typical,PConc,Good,Typical,Av,GLQ,3,Unf,0,508,1232,GasA,Excellent,Y,SBrkr,1232,0,0,1232,1,0,2,0,2,1,Good,6,Typ,0,No_Fireplace,Attchd,RFn,2,632,Typical,Typical,Paved,132,0,0,0,0,0,No_Pool,No_Fence,None,0,2,2009,WD ,Normal,194500
A_831,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,78,11645,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,College_Creek,Norm,Norm,OneFam,One_Story,Very_Good,Average,2005,2006,Gable,CompShg,VinylSd,VinylSd,Stone,76,Good,Typical,PConc,Excellent,Typical,Gd,GLQ,3,Unf,0,1474,1498,GasA,Excellent,Y,SBrkr,1498,0,0,1498,0,0,2,0,3,1,Good,7,Typ,1,Good,Attchd,Fin,3,844,Typical,Typical,Paved,144,98,0,0,0,0,No_Pool,No_Fence,None,0,3,2009,WD ,Normal,237000
A_832,Two_Story_1946_and_Newer,Residential_Low_Density,79,11646,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,College_Creek,Norm,Norm,OneFam,Two_Story,Above_Average,Average,2005,2006,Gable,CompShg,VinylSd,VinylSd,None,0,Good,Typical,PConc,Good,Typical,Av,Unf,7,Unf,0,704,704,GasA,Excellent,Y,SBrkr,704,718,0,1422,0,0,2,1,3,1,Good,7,Typ,1,Good,Attchd,Fin,2,440,Typical,Typical,Paved,36,28,0,0,0,0,No_Pool,No_Fence,None,0,7,2009,WD ,Normal,173000
A_833,Split_or_Multilevel,Residential_Low_Density,0,12800,Pave,No_Alley_Access,Regular,Low,AllPub,Inside,Mod,Sawyer_West,Norm,Norm,OneFam,SLvl,Good,Average,1989,1989,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,145,Good,Typical,PConc,Good,Typical,Gd,GLQ,3,Unf,0,0,1518,GasA,Good,Y,SBrkr,1644,0,0,1644,1,1,2,0,2,1,Good,5,Typ,1,Typical,Attchd,Fin,2,569,Typical,Typical,Paved,80,0,0,0,396,0,No_Pool,No_Fence,None,0,8,2009,WD ,Normal,275000
A_834,Two_Story_1946_and_Newer,Residential_Low_Density,0,16698,Pave,No_Alley_Access,Slightly_Irregular,HLS,AllPub,CulDSac,Mod,Clear_Creek,Norm,Norm,OneFam,Two_Story,Good,Average,1992,1993,Gable,CompShg,VinylSd,VinylSd,None,0,Good,Typical,PConc,Good,Typical,Av,GLQ,3,Unf,0,649,1449,GasA,Good,Y,SBrkr,944,815,0,1759,1,0,2,1,3,1,Good,7,Typ,1,Typical,Attchd,Unf,2,525,Typical,Typical,Paved,150,193,0,0,0,0,No_Pool,No_Fence,None,0,6,2009,WD ,Normal,233500
A_835,Two_Story_1946_and_Newer,Residential_Low_Density,0,28698,Pave,No_Alley_Access,Moderately_Irregular,Low,AllPub,CulDSac,Sev,Clear_Creek,Norm,Norm,OneFam,Two_Story,Average,Average,1967,1967,Flat,Tar&Grv,Plywood,Plywood,None,0,Typical,Typical,PConc,Typical,Good,Gd,LwQ,4,ALQ,764,0,1013,GasA,Typical,Y,SBrkr,1160,966,0,2126,0,1,2,1,3,1,Typical,7,Min2,0,No_Fireplace,Attchd,Fin,2,538,Typical,Typical,Paved,486,0,0,0,225,0,No_Pool,No_Fence,None,0,6,2009,WD ,Abnorml,185000
A_836,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,82,12464,Pave,No_Alley_Access,Moderately_Irregular,Low,AllPub,Corner,Mod,College_Creek,Norm,Norm,OneFam,One_Story,Average,Average,1996,1996,Gable,CompShg,VinylSd,VinylSd,None,0,Typical,Good,PConc,Good,Typical,No,GLQ,3,Unf,0,308,1040,GasA,Good,Y,SBrkr,1040,0,0,1040,1,0,1,0,3,1,Good,6,Typ,0,No_Fireplace,Detchd,Unf,2,576,Typical,Typical,Paved,168,0,0,0,0,0,No_Pool,Good_Privacy,None,0,11,2009,WD ,Normal,152000
A_837,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,65,9757,Pave,No_Alley_Access,Regular,Low,AllPub,Inside,Mod,College_Creek,Norm,Norm,OneFam,One_Story,Average,Good,1994,1994,Gable,CompShg,VinylSd,VinylSd,None,0,Typical,Good,PConc,Typical,Typical,No,ALQ,1,Unf,0,235,990,GasA,Excellent,Y,SBrkr,990,0,0,990,1,0,1,0,3,1,Typical,5,Typ,0,No_Fireplace,Attchd,RFn,1,440,Typical,Typical,Paved,66,0,0,0,92,0,No_Pool,No_Fence,None,0,10,2009,WD ,Normal,143000
A_838,Two_Story_1946_and_Newer,Residential_Low_Density,65,15426,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,College_Creek,Norm,Norm,OneFam,Two_Story,Above_Average,Average,1997,1997,Gable,CompShg,VinylSd,VinylSd,None,0,Typical,Typical,PConc,Good,Typical,No,GLQ,3,Unf,0,107,928,GasA,Excellent,Y,SBrkr,928,836,0,1764,1,0,2,1,3,1,Good,7,Typ,0,No_Fireplace,Attchd,RFn,2,470,Typical,Typical,Paved,276,99,0,0,0,0,No_Pool,Minimum_Privacy,None,0,8,2009,WD ,Normal,231500
A_839,Two_Story_1946_and_Newer,Residential_Low_Density,43,10667,Pave,No_Alley_Access,Moderately_Irregular,Lvl,AllPub,CulDSac,Gtl,College_Creek,PosN,Norm,OneFam,Two_Story,Good,Above_Average,1996,1996,Gable,CompShg,VinylSd,VinylSd,None,0,Good,Typical,PConc,Good,Typical,Av,GLQ,3,ALQ,344,70,799,GasA,Excellent,Y,SBrkr,827,834,0,1661,1,0,2,1,3,1,Good,6,Typ,1,Typical,Attchd,RFn,2,550,Typical,Typical,Paved,158,61,0,0,0,0,No_Pool,No_Fence,None,0,4,2009,ConLw,Normal,212000
A_840,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,65,14753,Pave,No_Alley_Access,Moderately_Irregular,Low,AllPub,Inside,Gtl,College_Creek,PosN,Norm,OneFam,One_Story,Good,Average,1998,1998,Gable,CompShg,VinylSd,VinylSd,None,0,Typical,Typical,PConc,Good,Typical,Mn,GLQ,3,Unf,0,513,1463,GasA,Excellent,Y,SBrkr,1463,0,0,1463,1,0,2,0,3,1,Typical,5,Typ,0,No_Fireplace,Attchd,Fin,2,539,Typical,Typical,Paved,0,81,0,0,0,0,No_Pool,Good_Privacy,None,0,12,2009,WD ,Normal,207000
A_841,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,112,10859,Pave,No_Alley_Access,Regular,Lvl,AllPub,Corner,Gtl,College_Creek,Norm,Norm,OneFam,One_Story,Average,Average,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0,Typical,Typical,PConc,Good,Typical,No,Unf,7,Unf,0,1097,1097,GasA,Excellent,Y,SBrkr,1097,0,0,1097,0,0,1,1,3,1,Typical,6,Typ,0,No_Fireplace,Attchd,Unf,2,672,Typical,Typical,Paved,392,64,0,0,0,0,No_Pool,No_Fence,None,0,6,2009,WD ,Normal,145000
A_842,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,60,8072,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,College_Creek,Norm,Norm,OneFam,One_Story,Average,Average,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0,Typical,Good,PConc,Good,Good,No,ALQ,1,Unf,0,244,990,GasA,Excellent,Y,SBrkr,990,0,0,990,1,0,1,0,3,1,Typical,5,Typ,0,No_Fireplace,Detchd,Unf,2,480,Typical,Typical,Paved,0,64,0,0,0,0,No_Pool,No_Fence,None,0,5,2009,WD ,Normal,138000
A_843,Two_Story_1946_and_Newer,Residential_Low_Density,80,10400,Pave,No_Alley_Access,Regular,Lvl,AllPub,Corner,Gtl,College_Creek,Norm,Norm,OneFam,Two_Story,Good,Average,1998,1998,Gable,CompShg,VinylSd,VinylSd,None,0,Typical,Typical,PConc,Good,Typical,Av,Unf,7,Unf,0,866,866,GasA,Excellent,Y,SBrkr,866,913,0,1779,0,0,2,1,3,1,Good,6,Typ,0,No_Fireplace,Attchd,RFn,2,546,Typical,Typical,Paved,198,36,0,0,0,0,No_Pool,No_Fence,None,0,3,2009,WD ,Normal,197900
A_844,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,78,10335,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,College_Creek,Norm,Norm,OneFam,One_Story,Good,Average,1999,1999,Gable,CompShg,VinylSd,VinylSd,BrkFace,183,Good,Typical,PConc,Good,Typical,Gd,GLQ,3,Unf,0,811,1490,GasA,Excellent,Y,SBrkr,1501,0,0,1501,1,0,2,0,3,1,Good,6,Typ,0,No_Fireplace,Attchd,RFn,2,577,Typical,Typical,Paved,144,29,0,0,0,0,No_Pool,No_Fence,None,0,6,2009,WD ,Normal,204000
A_845,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,68,9017,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,College_Creek,Norm,Norm,OneFam,One_Story,Good,Average,1999,1999,Gable,CompShg,VinylSd,VinylSd,None,0,Good,Typical,PConc,Good,Typical,Av,GLQ,3,Unf,0,871,1431,GasA,Excellent,Y,SBrkr,1431,0,0,1431,1,0,2,0,3,1,Good,6,Typ,0,No_Fireplace,Attchd,Fin,2,666,Typical,Typical,Paved,0,35,0,0,0,0,No_Pool,No_Fence,None,0,9,2009,WD ,Normal,192000
A_846,Two_Story_1946_and_Newer,Residential_Low_Density,70,8750,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,College_Creek,Norm,Norm,OneFam,Two_Story,Above_Average,Average,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,120,Typical,Typical,PConc,Good,Typical,No,GLQ,3,Unf,0,322,928,GasA,Excellent,Y,SBrkr,928,844,0,1772,1,0,2,1,3,1,Typical,7,Typ,1,Typical,Attchd,RFn,2,492,Typical,Typical,Paved,150,96,0,0,0,0,No_Pool,No_Fence,None,0,4,2009,WD ,Normal,200000
A_847,Two_Story_1946_and_Newer,Residential_Low_Density,68,8935,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,College_Creek,Norm,Norm,OneFam,Two_Story,Good,Average,2002,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,95,Good,Typical,PConc,Good,Typical,No,Unf,7,Unf,0,831,831,GasA,Excellent,Y,SBrkr,831,829,0,1660,0,0,2,1,3,1,Good,7,Typ,0,No_Fireplace,Attchd,RFn,2,493,Typical,Typical,Paved,144,68,0,0,0,0,No_Pool,No_Fence,None,0,7,2009,WD ,Normal,195000
A_848,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,67,9808,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,College_Creek,Norm,Norm,OneFam,One_Story,Good,Average,2002,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,110,Good,Typical,PConc,Good,Typical,No,GLQ,3,Unf,0,785,1573,GasA,Excellent,Y,SBrkr,1573,0,0,1573,1,0,2,0,3,1,Good,6,Typ,0,No_Fireplace,Attchd,RFn,2,544,Typical,Typical,Paved,0,72,0,0,0,0,No_Pool,No_Fence,None,0,3,2009,WD ,Normal,227000
A_849,Two_Story_1946_and_Newer,Residential_Low_Density,79,12420,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,College_Creek,Norm,Norm,OneFam,Two_Story,Good,Average,2001,2001,Gable,CompShg,VinylSd,VinylSd,None,0,Good,Typical,PConc,Good,Typical,No,GLQ,3,Unf,0,278,944,GasA,Excellent,Y,SBrkr,944,896,0,1840,1,0,2,1,3,1,Good,6,Typ,0,No_Fireplace,Attchd,RFn,2,622,Typical,Typical,Paved,0,45,0,0,0,0,No_Pool,No_Fence,None,0,6,2009,WD ,Normal,230000
A_850,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,67,16285,Pave,No_Alley_Access,Moderately_Irregular,Lvl,AllPub,Inside,Gtl,College_Creek,Norm,Norm,OneFam,One_Story,Good,Average,2001,2002,Gable,CompShg,VinylSd,VinylSd,None,0,Good,Typical,PConc,Good,Typical,No,Unf,7,Unf,0,1413,1413,GasA,Excellent,Y,SBrkr,1430,0,0,1430,0,0,2,0,3,1,Good,6,Typ,0,No_Fireplace,Attchd,RFn,2,605,Typical,Typical,Paved,0,33,0,0,0,0,No_Pool,No_Fence,None,0,6,2009,WD ,Normal,187100
A_851,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,65,10739,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,College_Creek,Norm,Norm,OneFam,One_Story,Good,Average,2002,2001,Gable,CompShg,VinylSd,VinylSd,BrkFace,68,Good,Typical,PConc,Good,Typical,No,GLQ,3,Unf,0,172,1431,GasA,Excellent,Y,SBrkr,1444,0,0,1444,1,0,2,0,3,1,Good,6,Typ,0,No_Fireplace,Attchd,RFn,2,577,Typical,Typical,Paved,144,40,0,0,0,0,No_Pool,No_Fence,None,0,4,2009,WD ,Normal,203000
